Nödvändiga (26) - Inställningar (13) - Statistik (21) - Marknadsföring (296) - Oklassificerade (48)

Nödvändiga
--------TABLE--------
 CookieConsent, stockholmdirekt.se
 __cfduid [x9], adnami.io brandmetrics.com codigo.se infolinks.com klart.se solocpm.com spoutable.com suntcontent.se truoptik.com
 AWSELB [x2], ads.playground.xyz tremorhub.com
 connect.sid, ads.playground.xyz
 cf_ob_info, cdn.brandmetrics.com
 cf_use_ob, cdn.brandmetrics.com
 SESS# [x2], eniro.se stickyadstv.com
 AWSALB [x2], stockholmdirekt.se unrulymedia.com
 test [x2], stockholmdirekt.se m6r.eu
 local_storage_support_test, twitter.com
 TS# [x4], map01.eniro.no map02.eniro.no map03.eniro.no map04.eniro.no
---------------------

Inställningar
--------TABLE--------
 uid [x10], adten.eu delivery.youplay.se addthis.com lwadm.com simpli.fi turn.com unrulymedia.com videohub.tv adform.net adotmob.com
 lang, cdn.syndication.twimg.com
 CookieConsentBulkSetting-#, consentcdn.cookiebot.com
 CookieConsentBulkTicket, cookiebot.com
--------------------- 

Statistik
--------TABLE--------
 _ga [x4], candidate.hr-manager.net kartor.eniro.se stockholmdirekt.se sverigesradio.se
 _gid [x4], candidate.hr-manager.net kartor.eniro.se stockholmdirekt.se sverigesradio.se
 _gat [x4], candidate.hr-manager.net kartor.eniro.se stockholmdirekt.se sverigesradio.se
 DigiTrust.v1.identity, digitru.st
 s_cc, eniro.se
 s_sq, eniro.se
 collect, google-analytics.com
 UID [x2], scorecardresearch.com stickyadstv.com
 UIDR, scorecardresearch.com
 personalization_id, twitter.com
 wui, weborama.com
---------------------

Marknadsföring
--------TABLE--------
 GoogleAdServingTest, stockholmdirekt.se
 _rxuuid, 1rx.io
 tuuid [x9], 254a.com 360yield.com 4finance.com programattik.com admedo.com bidswitch.net creative-serving.com mfadsrvr.com r.scoota.co
 tuuid_lu [x9], 254a.com 360yield.com 4finance.com mfadsrvr.com programattik.com r.scoota.co admedo.com bidswitch.net creative-serving.com
 umeh, 360yield.com
 tluid, 3lift.com
 bsw_uid [x2], 4finance.com mfadsrvr.com
 auid, acuityplatform.com
 na_id, addthis.com
 na_tc, addthis.com
 ouid, addthis.com
 adtrc, adform.net
 C, adform.net
 cid [x2], adform.net ctnsnet.com
 IDE, doubleclick.net
 r/collect, doubleclick.net
 test_cookie, doubleclick.net
 dyn_u, dyntrk.com
